,number_of_clicks,relative_valuation
0,0,0.31076980200520155
1,1,-0.6109818090139786
2,2,-0.6963984846474122
3,3,-0.795078608548681
4,4,-0.8565746552541459
5,5,-0.8927810590965951
6,6,-0.9078254674981286
7,7,-0.9240569662907795
8,8,-0.8818924145025678
9,9,-0.9599002070293896
10,10,-0.7793402182670714
11,11,-0.9072116100327763
12,12,-0.5853665820150501
13,13,-0.9473685762651533
14,14,-0.6380467751911354
15,15,-0.8171606451008341
16,16,-0.9376015687363864
17,17,-0.8768818091864341
18,18,-0.8736793505008148
19,19,-0.5426660390287211
20,20,-0.655175165865201
21,21,-0.8581240245770391
22,22,-0.7734378470136116
23,23,-0.7721781970150409
24,24,-0.5418912455215988
25,25,-0.8137986358308458
26,26,-0.5943674129055124
27,27,-0.7928365095393775
28,28,-0.589031424073882
29,29,-0.5122262765266697
30,30,-0.5027914691259057
31,31,-0.6401226455561521
32,32,-0.8457542197721524
33,33,-0.6626644204583646
34,34,-0.5632477914649412
35,35,-0.590637174694094
36,36,-0.5995118140186141
37,37,-0.5047243142160321
38,38,-0.7014763236869297
39,39,-0.2309728143288625
40,40,-0.5008944560684394
41,41,-0.5221661700074999
42,42,-0.6237743273443898
43,43,-0.6714939706690493
44,44,-0.5976206191709188
45,45,-0.38864054616540356
46,46,-0.5204905393138262
47,47,-0.4858355711912104
48,48,-0.43380273908042083
49,49,-0.4866112362948691
50,50,-0.5039827082646753
51,51,-0.5747534078906058
52,52,-0.4780167704567489
53,53,-0.48883707786074876
54,54,-0.6119445163527517
55,55,-0.4949744675562439
56,56,-0.3779757058301751
57,57,-0.36645894690220904
58,58,-0.6507236116326566
59,59,-0.2553965524378209
60,60,-0.38441534198822797
61,61,-0.6421331757092246
62,62,1.312259571758363
63,63,-0.5583218027649947
64,64,-0.3966294457682614
65,65,-0.525778589175156
66,66,-0.31695086009820717
67,67,-0.44857548105611544
68,68,-0.6520933817818393
69,69,-0.42178647709208256
70,70,-0.4736167648218054
71,71,-0.6669369760257985
72,72,-0.36305683929327603
73,73,-0.4575537160196409
74,74,-0.44176587159281017
75,75,-0.5637099544231863
76,76,-0.5203998260324401
77,77,-0.400707384747398
78,78,-0.5945405540171458
79,79,-0.48834549684366113
80,80,-0.5120010323929451
81,81,-0.3260119714044679
82,82,-0.4501332503640399
83,83,-0.4223254887972189
84,84,-0.5187358536801653
85,85,-0.5120764738228851
86,86,-0.45358125692766327
87,87,-0.5047465336135541
88,88,-0.47028173722692246
89,89,-0.6589647247979568
90,90,-0.5163988292239635
91,91,-0.5664015370371293
92,92,-0.5074818866016967
93,93,0.0778090961749299
94,94,-0.5336921953312688
95,95,-0.5924359688367622
96,96,-0.5010343672274616
97,97,-0.6707804979460229
98,98,-0.45443185684555204
99,99,-0.045672958402129524
100,100,-0.522442637009
101,101,-0.41229497057477443
102,102,-0.4713905610806337
103,103,-0.5418048604855454
104,104,-0.46181422912438874
105,105,-0.3642435415218168
106,106,-0.5245097967288186
107,107,-0.5143143596344163
108,108,-0.4723709757823926
109,109,-0.5827640423101734
110,110,-0.6514515463321405
111,111,-0.5033877560920602
112,112,-0.5249858427478078
113,113,-0.5102687427161368
114,114,-0.5387646173302956
115,115,-0.5170247236678125
116,116,-0.3025945230327094
117,117,-0.6011683494165464
118,118,-0.5582009014764129
119,119,-0.6275989544968192
120,120,-0.5078151102231495
121,121,-0.7321499583392274
122,122,-0.5741821789048608
123,123,-0.5358979314127214
124,124,-0.4273533032994527
125,125,-0.524400729771705
126,126,-0.5553190527944921
127,127,-0.472721161714607
128,128,-0.7154320777444199
129,129,-0.5352231197421192
130,130,-0.46455326786057455
131,131,-0.5446845660908345
132,132,-0.47689419821117557
133,133,-0.39249823263958805
134,134,-0.5023040363902084
135,135,-0.5802637296225581
136,136,-0.3505928030120871
137,137,-0.5302463010089759
138,138,-0.49033423668991927
139,139,-0.6366549583165818
140,140,-0.23754379125870126
141,141,-0.4870518422951335
142,142,-0.46818024053249085
143,143,-0.5734319768778641
144,144,-0.4862352267499663
145,145,-0.5640709912564377
146,146,-0.2172150394725909
147,147,-0.4712649871021031
148,148,-0.5114081771169543
149,149,-0.6509901700628424
150,150,-0.4914690932630745
151,151,-0.3696648743482506
152,152,-0.551622088560459
153,153,-0.4562459549568984
154,154,-0.5308389458296361
155,155,-0.5045344802374242
156,156,-0.5111913093625771
157,157,-0.34473081836592984
158,158,-0.5721100488195471
159,159,-0.49748223397362784
160,160,-0.7562722960038818
161,161,-0.4687735645501599
162,162,-0.5293373885961457
163,163,-0.6566604142792671
164,164,-0.5702542006286218
165,165,-0.5037206640309011
166,166,-0.5534461944577447
167,167,-0.3988649425516718
168,168,-0.5438636125293976
169,169,-0.5094403417715704
170,170,-0.42270107570181886
171,171,-0.5273228417988487
172,172,-0.5428570172071648
